repo		ablation	contracts/scan/results elapsed time
61	baseline	85c/1/48r (rc=255)	23.381	255
61	no_init_only	85c/1/49r (rc=255)	20.236	255
61	no_admin_benign	85c/1/49r (rc=255)	28.132	255
61	sink_none	85c/1/54r (rc=255)	22.603	255
61	sink_samevar	85c/1/27r (rc=255)	22.422	255
61	budget_0	85c/1/0r	23.674	0
61	budget_inf	85c/1/48r (rc=255)	23.752	255
64/v4-core	baseline	77c/1/4r (rc=255)	16.916	255
64/v4-core	no_init_only	77c/1/4r (rc=255)	18.344	255
64/v4-core	no_admin_benign	77c/1/4r (rc=255)	15.209	255
64/v4-core	sink_none	77c/1/5r (rc=255)	16.125	255
64/v4-core	sink_samevar	77c/1/0r	15.802	0
64/v4-core	budget_0	77c/1/0r	17.894	0
64/v4-core	budget_inf	77c/1/4r (rc=255)	16.802	255
64/v4-periphery	baseline	43c/1/1r (rc=255)	9.485	255
64/v4-periphery	no_init_only	43c/1/1r (rc=255)	9.893	255
64/v4-periphery	no_admin_benign	43c/1/1r (rc=255)	9.383	255
64/v4-periphery	sink_none	43c/1/1r (rc=255)	9.588	255
64/v4-periphery	sink_samevar	43c/1/0r	8.994	0
64/v4-periphery	budget_0	43c/1/0r	10.572	0
64/v4-periphery	budget_inf	43c/1/1r (rc=255)	10.788	255
67/sandclock	baseline	41c/1/15r (rc=255)	13.147	255
67/sandclock	no_init_only	41c/1/15r (rc=255)	13.229	255
67/sandclock	no_admin_benign	41c/1/15r (rc=255)	13.294	255
67/sandclock	sink_none	41c/1/15r (rc=255)	14.022	255
67/sandclock	sink_samevar	41c/1/5r (rc=255)	12.763	255
67/sandclock	budget_0	41c/1/0r	15.628	0
67/sandclock	budget_inf	41c/1/15r (rc=255)	12.728	255
69/nftx-protocol-v2	baseline	132c/1/60r (rc=255)	13.741	255
69/nftx-protocol-v2	no_init_only	132c/1/65r (rc=255)	12.738	255
69/nftx-protocol-v2	no_admin_benign	132c/1/60r (rc=255)	12.960	255
